employeeId;firstName;lastName;startDate;localization;birthDate;;;;;;;;;;
SW0011;Madeleine;ROBIN;02/10/2017;Montpellier;10/12/1969;;;;;;;;;;
SW0012;Yvonne;MARCHAND;02/10/2017;Montpellier;27/07/1982;;;;;;;;;;
SW0013;Julien;VINCENT;02/11/2017;Montpellier;21/06/1961;;;;;;;;;;
SW0016;Eric;ANDRE;02/11/2017;Montpellier;11/02/1960;;;;;;;;;;
SW0021;Catherine;GARNIER;02/11/2017;Montpellier;29/09/1968;;;;;;;;;;
SW0023;Hélène;NICOLAS;02/11/2017;Montpellier;27/12/1975;;;;;;;;;;
SW0026;Georges;FOURNIER;02/11/2017;Montpellier;07/12/1994;;;;;;;;;;
SW0031;Monique;BOYER;02/12/2017;Montpellier;13/06/1978;;;;;;;;;;
SW0032;Suzanne;MORIN;02/12/2017;Montpellier;01/04/1982;;;;;;;;;;
SW0037;Bernard;LAURENT;02/12/2017;Montpellier;23/08/1997;;;;;;;;;;
SW0041;Louise;GAUTIER;02/01/2018;Région;27/09/1980;;;;;;;;;;
SW0044;René;RICHARD;02/01/2018;Montpellier;10/04/1981;;;;;;;;;;
SW0047;Christiane;MASSON;02/01/2018;Montpellier;04/05/1970;;;;;;;;;;
SW0051;Joseph;ROUSSEAU;02/01/2018;Région;28/11/1993;;;;;;;;;;
SW0054;Françoise;GUERIN;02/01/2018;Région;17/12/1996;;;;;;;;;;
SW0056;Denise;MATHIEU;02/01/2018;Montpellier;18/04/1984;;;;;;;;;;
SW0057;Nicolas;GIRARD;02/01/2018;Région;19/01/1999;;;;;;;;;;
SW0058;Jeanne;BLANC;02/01/2018;Région;17/04/1990;;;;;;;;;;
SW0062;Nicole;CLEMENT;02/01/2018;Région;03/03/1969;;;;;;;;;;
SW0065;Henri;MOREL;02/02/2018;Montpellier;21/12/1982;;;;;;;;;;
SW0066;Anne;GAUTHIER;02/02/2018;Montpellier;25/12/1967;;;;;;;;;;
SW0067;André;PETIT;02/02/2018;Paris;14/11/1997;;;;;;;;;;
SW0070;Marguerite;ROUSSEL;02/02/2018;Montpellier;12/07/1999;;;;;;;;;;
SW0071;Patrick;DUPONT;02/02/2018;Montpellier;19/03/1993;;;;;;;;;;
SW0076;Philippe;ROBERT;02/02/2018;Paris;09/10/1977;;;;;;;;;;
SW0079;Isabelle;FRANCOIS;02/09/2019;Montpellier;08/10/1967;;;;;;;;;;
SW0080;Christine;HENRY;02/09/2019;Montpellier;09/11/1969;;;;;;;;;;
SW0081;Maurice;MULLER;02/09/2019;Paris;04/06/1971;;;;;;;;;;
SW0082;Sophie;DENIS;02/09/2019;Montpellier;19/08/1984;;;;;;;;;;
SW0087;Laurent;LEFEVRE;02/09/2019;Paris;02/06/1983;;;;;;;;;;
SW0088;Martine;PERRIN;02/09/2019;Montpellier;30/10/1997;;;;;;;;;;
SW0089;Stéphanie;MARIE;02/09/2019;Région;24/05/1984;;;;;;;;;;
SW0092;Jacques;MOREAU;02/09/2019;Montpellier;22/08/1975;;;;;;;;;;
SW0097;Céline;LEMAIRE;02/09/2019;Montpellier;02/07/1963;;;;;;;;;;
SW0101;Renée;MEUNIER;02/09/2019;Montpellier;08/04/1964;;;;;;;;;;
SW0106;Marcel;SIMON;02/09/2019;Paris;03/05/1968;;;;;;;;;;
SW0107;Sandrine;DUMONT;02/09/2019;Montpellier;31/07/1973;;;;;;;;;;
SW0111;Gérard;LAMBERT;02/09/2019;Montpellier;18/06/1994;;;;;;;;;;
SW0116;Louis;DURAND;02/09/2019;Montpellier;31/08/1967;;;;;;;;;;
SW0117;Christophe;FONTAINE;02/09/2019;Région;25/07/1968;;;;;;;;;;
SW0122;Valérie;DUVAL;02/09/2019;Région;13/04/1993;;;;;;;;;;
SW0125;Marie;MERCIER;02/10/2019;Montpellier;24/09/1969;;;;;;;;;;
SW0130;Frédéric;FAURE;02/10/2019;Paris;18/05/1999;;;;;;;;;;
SW0135;Jacqueline;LEGRAND;02/10/2019;Montpellier;28/09/1968;;;;;;;;;;
SW0140;Christian;BERTRAND;02/10/2019;Montpellier;10/03/1972;;;;;;;;;;
SW0143;Daniel;MICHEL;02/10/2019;Paris;18/03/1962;;;;;;;;;;
SW0144;Nathalie;CHEVALIER;02/11/2019;Montpellier;17/06/1979;;;;;;;;;;
SW0147;Paul;ROUX;02/11/2019;Région;01/07/1998;;;;;;;;;;
SW0148;Robert;LEROY;02/11/2019;Région;05/03/1967;;;;;;;;;;
SW0152;Chantal;MEYER;02/11/2019;Montpellier;07/11/1999;;;;;;;;;;
SW0154;Jean;MARTIN;02/12/2019;Région;09/02/1961;;;;;;;;;;
SW0157;Sylvie;GARCIA;02/12/2019;Montpellier;25/06/1992;;;;;;;;;;
SW0160;Alain;DUBOIS;02/12/2019;Montpellier;20/07/1970;;;;;;;;;;
SW0162;Roger;LEFEBVRE;02/01/2020;Montpellier;20/06/1967;;;;;;;;;;
SW0163;Pierre;BERNARD;02/01/2020;Montpellier;23/06/1984;;;;;;;;;;
SW0168;Michel;THOMAS;02/01/2020;Montpellier;30/07/1978;;;;;;;;;;
SW0169;Véronique;NOEL;02/01/2020;Région;10/09/1960;;;;;;;;;;
SW0171;François;BONNET;02/01/2020;Région;25/02/1961;;;;;;;;;;
SW0172;Marcelle;DUFOUR;02/01/2020;Montpellier;25/01/1968;;;;;;;;;;
SW0173;Claude;DAVID;02/01/2020;Montpellier;18/11/1973;;;;;;;;;;
